#  BAND   46          
#EF=   0.00000     NDOS= 5     NENRG=  592    Gaussian bradening: 0.00300
# ENERGY    2:DZ2          2:DXY          2:DX2Y2        2:DXZ+DYZ      2:DXZ+DYZ   
  -4.14756    0.01143306    0.04240159    0.07572100    0.02453854    0.02453854
  -4.12035    0.01075687    0.04133600    0.07365397    0.02398187    0.02398187
  -4.09314    0.00965503    0.04029646    0.07039256    0.02348297    0.02348297
  -4.06593    0.00834362    0.03924733    0.06627552    0.02299809    0.02299809
  -4.03871    0.00704496    0.03810380    0.06178386    0.02254678    0.02254678
  -4.01150    0.00588754    0.03676623    0.05733745    0.02217515    0.02217515
  -3.98429    0.00490357    0.03516464    0.05323870    0.02192392    0.02192393
  -3.95708    0.00407524    0.03328750    0.04970788    0.02181480    0.02181480
  -3.92987    0.00337849    0.03117741    0.04692079    0.02185844    0.02185844
  -3.90266    0.00278999    0.02890190    0.04496884    0.02207218    0.02207218
  -3.87545    0.00229413    0.02651623    0.04375985    0.02246583    0.02246583
  -3.84824    0.00187758    0.02404447    0.04296840    0.02301417    0.02301417
  -3.82102    0.00152678    0.02148736    0.04202831    0.02357578    0.02357578
  -3.79381    0.00122916    0.01885206    0.04027125    0.02385512    0.02385512
  -3.76660    0.00097524    0.01618248    0.03715700    0.02347964    0.02347964
  -3.73939    0.00075892    0.01356328    0.03252916    0.02219828    0.02219828
  -3.71218    0.00057674    0.01110373    0.02678849    0.02006816    0.02006816
  -3.68497    0.00042623    0.00889896    0.02076334    0.01743967    0.01743967
  -3.65776    0.00030505    0.00699808    0.01529920    0.01473938    0.01473938
  -3.63054    0.00021036    0.00539982    0.01087111    0.01225746    0.01225746
  -3.60333    0.00013876    0.00407186    0.00751530    0.01009695    0.01009695
  -3.57612    0.00008660    0.00297836    0.00503844    0.00824159    0.00824159
  -3.54891    0.00005036    0.00209221    0.00323900    0.00663753    0.00663753
  -3.52170    0.00002681    0.00139304    0.00198680    0.00524790    0.00524790
  -3.49449    0.00001280    0.00086357    0.00116369    0.00405310    0.00405310
  -3.46728    0.00000539    0.00048982    0.00066167    0.00305444    0.00305444
  -3.44006    0.00000197    0.00025227    0.00037397    0.00224762    0.00224762
  -3.41285    0.00000062    0.00011968    0.00021539    0.00161401    0.00161401
  -3.38564    0.00000378    0.00005537    0.00012998    0.00112736    0.00112736
  -3.35843    0.00003332    0.00002684    0.00008075    0.00076178    0.00076178
  -3.33122    0.00015348    0.00001417    0.00005055    0.00049473    0.00049473
  -3.30401    0.00052570    0.00000837    0.00003118    0.00030676    0.00030676
  -3.27680    0.00144827    0.00000505    0.00001868    0.00018024    0.00018024
  -3.24958    0.00332211    0.00000296    0.00001109    0.00009978    0.00009978
  -3.22237    0.00649512    0.00000173    0.00000724    0.00005262    0.00005262
  -3.19516    0.01105310    0.00000115    0.00000639    0.00002890    0.00002890
  -3.16795    0.01672850    0.00000107    0.00000800    0.00002138    0.00002138
  -3.14074    0.02303127    0.00000148    0.00001167    0.00002498    0.00002498
  -3.11353    0.02951313    0.00000247    0.00001703    0.00003653    0.00003653
  -3.08632    0.03596672    0.00000429    0.00002377    0.00005447    0.00005447
  -3.05910    0.04244870    0.00000732    0.00003167    0.00007848    0.00007848
  -3.03189    0.04916681    0.00001205    0.00004059    0.00010907    0.00010907
  -3.00468    0.05635630    0.00001903    0.00005048    0.00014735    0.00014735
  -2.97747    0.06421484    0.00002891    0.00006136    0.00019482    0.00019482
  -2.95026    0.07287022    0.00004239    0.00007317    0.00025320    0.00025320
  -2.92305    0.08240267    0.00006028    0.00008582    0.00032435    0.00032435
  -2.89584    0.09291264    0.00008349    0.00009930    0.00041020    0.00041020
  -2.86862    0.10458452    0.00011309    0.00011367    0.00051306    0.00051306
  -2.84141    0.11815792    0.00015046    0.00012899    0.00063595    0.00063595
